,x,y,u (m/s),v (m/s)
1,0.0028762305240847908,0.007530283188236137,0.0012439433007996015,0.012181523333036843
2,0.0028994174695574654,0.0029008007959828008,-0.005751716297502492,0.005114203312091105
3,0.002935641455088682,0.013556148198004964,0.0120825615083402,-0.018125064409422124
4,0.00301418131610184,0.020054049897427314,0.02531476690912409,-0.09709803417311337
5,0.003090267351020388,0.026673111300440467,0.03877379986822199,-0.23328998636824388
6,0.0031521389901983735,0.03333097253189525,0.04790684261274398,-0.4139514665780438
7,0.003196170998823568,0.039995793560680934,0.05484177704230261,-0.6253907598746631
8,0.0032237799670448274,0.04666403288180491,0.06056898674318095,-0.8557459135223688
9,0.0029085796824003165,0.9970922285316494,11.484759524338502,453.2788123054004
10,0.0029233141528041823,0.9924499883113108,-112.49630340360643,357.7963608004047
11,0.002963343999570785,0.9864376088235726,-26.240687613379958,206.97909751630786
12,0.0030126867925442057,0.9799428705399565,-12.216968484056336,132.3491954042133
13,0.0030641054811737347,0.9733249164910001,-9.531144616334553,93.25441226090796
14,0.0031116348452656884,0.9666679352699961,-5.457911784014395,67.27776337523075
15,0.003151563120593634,0.9600039715406583,-4.087156245684473,49.43915822751666
16,0.0031823244994536575,0.9533363922660246,-2.981938284128929,36.56554864325415
17,0.003204360675793122,0.9466688766506589,-2.203366695493121,26.675892655099283
18,0.00321939443416096,0.9400015186965335,-1.662377320085564,19.215044438980833
19,0.0032292892995851637,0.9333343307323854,-1.2256200743988137,13.425282596965099
20,0.003233878507772921,0.6266664226523981,0.35392885155868364,25.95269986465292
21,0.0032327757180460846,0.6199999231392346,0.35057393956873034,27.329397876437486
22,0.0032329388881045295,0.6133333770087842,0.35219353978849055,28.713217183677028
23,0.0032339253353114647,0.6066667812717939,0.3541761435767499,30.11125102052851
24,0.001318231423986424,0.001318231423986424,-0.0018589287677196857,0.0016982806115293254
25,0.001307377510947632,0.006666666666666659,0.00015452936106410167,0.008487577418014433
26,0.0,0.0,0.0,0.0
27,0.0,0.006666666666666659,0.0,0.0
28,0.0013343824795857646,0.01333333333333332,0.0027832307380082993,-0.0016738124503162572
29,0.0,0.01333333333333332,0.0,0.0
30,0.0013700824164099273,0.01999999999999998,0.006235658127035539,-0.03839647489503193
31,0.0,0.01999999999999998,0.0,0.0
32,0.00140466697773654,0.02666666666666664,0.009381404638325297,-0.10204491384990796
