,x,y,u (m/s),v (m/s)
1,0.0028762305240847908,0.007530283188236137,0.0007741680405321574,-0.0005018575727214034
2,0.0028994174695574654,0.0029008007959828008,-0.0002621612924738189,0.0002189103524903861
3,0.002935641455088682,0.013556148198004964,0.0016825516176486373,-0.005571259097260394
4,0.00301418131610184,0.020054049897427314,0.002592115415984804,-0.014456754789195655
5,0.003090267351020388,0.026673111300440467,0.0031669191335127788,-0.026580637980283428
6,0.0031521389901983735,0.03333097253189525,0.003341503171154325,-0.04007985242602
7,0.003196170998823568,0.039995793560680934,0.003258675686948599,-0.05358507806122435
8,0.0032237799670448274,0.04666403288180491,0.0029558399828556307,-0.06586876399229005
9,0.0029085796824003165,0.9970922285316494,13.93751851920313,152.5253658974249
10,0.0029233141528041823,0.9924499883113108,-35.75183469465959,138.55097384774993
11,0.002963343999570785,0.9864376088235726,-10.817111265060905,86.38768976621253
12,0.0030126867925442057,0.9799428705399565,-4.9653424925354175,57.60954566660515
13,0.0030641054811737347,0.9733249164910001,-3.5836891729641893,42.30482218089362
14,0.0031116348452656884,0.9666679352699961,-2.0985624562267784,32.4589842259729
15,0.003151563120593634,0.9600039715406583,-1.5007378788813797,25.815562222420272
16,0.0031823244994536575,0.9533363922660246,-1.089730634022605,21.15322090737795
17,0.003204360675793122,0.9466688766506589,-0.8225479665952644,17.537614020574665
18,0.00321939443416096,0.9400015186965335,-0.6443558497767577,14.735239431695609
19,0.0032292892995851637,0.9333343307323854,-0.5036660872947353,12.447256339751727
20,0.003233878507772921,0.6266664226523981,0.02486228420140198,5.899353544465827
21,0.0032327757180460846,0.6199999231392346,0.023557919945879916,5.9925115817280545
22,0.0032329388881045295,0.6133333770087842,0.02237301176588081,6.083565667254479
23,0.0032339253353114647,0.6066667812717939,0.021235361502254173,6.171575247568017
24,0.001318231423986424,0.001318231423986424,-0.00021123135409445115,0.00019844249709836362
25,0.001307377510947632,0.006666666666666659,0.0001974507572270875,0.0001514777096637304
26,0.0,0.0,0.0,0.0
27,0.0,0.006666666666666659,0.0,0.0
28,0.0013343824795857646,0.01333333333333332,0.00040325021899923884,-0.0021433761837305805
29,0.0,0.01333333333333332,0.0,0.0
30,0.0013700824164099273,0.01999999999999998,0.0006404031525411046,-0.006517138085483724
31,0.0,0.01999999999999998,0.0,0.0
32,0.00140466697773654,0.02666666666666664,0.0007763099550903525,-0.012378105550738379
33,0.0,0.02666666666666664,0.0,0.0
34,0.0014327904500901698,0.0333333333333333,0.0008285058897178964,-0.018890928411257123
35,0.0,0.0333333333333333,0.0,0.0
36,0.0014528049994652582,0.03999999999999996,0.0008070819984997365,-0.02540545156278164
37,0.0,0.03999999999999996,0.0,0.0
38,0.0014653545304749217,0.04666666666666662,0.0007253914875236698,-0.03140086211819376
39,0.0,0.04666666666666662,0.0,0.0
40,0.0014720852393254012,0.05333333333333328,0.0005891573848317086,-0.036470629848799514
41,0.0,0.05333333333333328,0.0,0.0
42,0.0014749294405196481,0.05999999999999994,0.00042109070010165454,-0.04028124871342822
43,0.0,0.05999999999999994,0.0,0.0
44,0.001475801469115929,0.06666666666666661,0.00021637583322530962,-0.04269446048396872
45,0.0,0.06666666666666661,0.0,0.0
46,0.0014763014970787455,0.07333333333333326,-1.8578066942595145e-05,-0.04346204337316311
47,0.0,0.07333333333333326,0.0,0.0
48,0.0014772962873988577,0.07999999999999992,-0.00026250183704352575,-0.04250748767401825
49,0.0,0.07999999999999992,0.0,0.0
50,0.001478739083822548,0.08666666666666659,-0.000540303808497857,-0.039648014908055085
51,0.0,0.08666666666666659,0.0,0.0
52,0.0014800476192020032,0.09333333333333325,-0.000835009014230949,-0.03468112880952143
53,0.0,0.09333333333333325,0.0,0.0
54,0.001480706282766784,0.09999999999999991,-0.0011308509345761709,-0.027501673850727205
55,0.0,0.09999999999999991,0.0,0.0
56,0.0014805337822577905,0.10666666666666656,-0.0014518699677216818,-0.018109519159017255
57,0.0,0.10666666666666656,0.0,0.0
58,0.0014796288492981311,0.11333333333333322,-0.0018061158460348959,-0.006164301040821885
59,0.0,0.11333333333333322,0.0,0.0
60,0.0014783029691609155,0.1199999999999999,-0.0021511902251114936,0.008307089134084764
61,0.0,0.1199999999999999,0.0,0.0
62,0.001476994870344356,0.12666666666666657,-0.002510322141135361,0.025441895471001664
63,0.0,0.12666666666666657,0.0,0.0
64,0.001476159307502448,0.1333333333333332,-0.0028374005009560894,0.04502568601642741
65,0.0,0.1333333333333332,0.0,0.0
66,0.0014761744315826865,0.13999999999999982,-0.00322006498254893,0.06729218908670127
67,0.0,0.13999999999999982,0.0,0.0
68,0.0014770247478606792,0.14666666666666653,-0.003621946255773545,0.09240843219085937
69,0.0,0.14666666666666653,0.0,0.0
70,0.00147842259123552,0.15333333333333315,-0.004019264889825873,0.12068222935433157
71,0.0,0.15333333333333315,0.0,0.0
72,0.0014800324467651065,0.15999999999999984,-0.004387989791953502,0.15150862702502527
73,0.0,0.15999999999999984,0.0,0.0
74,0.0014816423022946926,0.1666666666666665,-0.004887650237866398,0.18577301725731263
75,0.0,0.1666666666666665,0.0,0.0
76,0.0014834641699790242,0.17333333333333314,-0.005236845500300758,0.22306228990565455
77,0.0,0.17333333333333314,0.0,0.0
