,x,y,u (m/s),v (m/s),p (Pa)
2280,0.97480726,0.26626655,0.054527167,-5.66906E-05,0.003446255
2281,0.98438835,0.2509699,0.056857266,-5.47445E-05,0.003419504
2282,0.99387354,0.23585702,0.05850636,-5.06416E-05,0.00339299
2283,1.0033115,0.22084522,0.059502635,-4.48979E-05,0.003366565
2284,1.0127577,0.20582992,0.059859697,-3.80504E-05,0.003340066
2285,1.0222191,0.19080003,0.05957665,-3.06653E-05,0.003313466
2286,1.0317242,0.17569557,0.05864627,-2.32606E-05,0.00328668
2287,1.0413176,0.16041687,0.05704566,-1.62725E-05,0.003259582
2288,1.0510248,0.14489461,0.05473936,-1.00772E-05,0.003232098
2289,1.0608449,0.12912087,0.051692273,-4.98126E-06,0.003204234
2290,1.0707523,0.113151595,0.04788399,-1.1853E-06,0.003176064
2291,1.0807115,0.097068205,0.04331179,1.25589E-06,0.003147695
2292,1.0906945,0.08092901,0.03797979,2.4422E-06,0.003119215
2293,1.1006862,0.06475911,0.031889845,2.60123E-06,0.003090674
2294,1.11068,0.04857268,0.025043888,2.05192E-06,0.003062098
2295,1.1206737,0.032381788,0.017445745,1.17027E-06,0.003033499
2296,0.92563957,0.37767515,0.017397508,-7.20072E-06,0.003582885
2297,0.9355849,0.36153424,0.02497107,-1.43434E-05,0.003555051
2298,0.94551575,0.3454221,0.031789776,-2.2289E-05,0.003527248
2299,0.9554334,0.32935202,0.037852086,-3.00046E-05,0.003499488
2300,0.96534586,0.31335843,0.043152895,-3.66077E-05,0.003471756
2301,0.9752335,0.2974841,0.047691625,-4.13857E-05,0.003444108
2302,0.98504853,0.28176984,0.051476266,-4.39626E-05,0.003416669
2303,0.99475116,0.26625863,0.05452176,-4.42668E-05,0.003389539
2304,1.0043321,0.25096592,0.056853928,-4.24727E-05,0.003362733
2305,1.0138183,0.23585653,0.0585052,-3.89281E-05,0.003336163
2306,1.02326,0.22084661,0.059503574,-3.40582E-05,0.003309679
2307,1.0327121,0.20583175,0.059862338,-2.83096E-05,0.003283119
2308,1.0421807,0.19080165,0.059580404,-2.2159E-05,0.00325646
2309,1.0516939,0.17569645,0.058650486,-1.60475E-05,0.003229618
2310,1.0612947,0.16041715,0.05704977,-1.03498E-05,0.003202471
2311,1.0710074,0.14489464,0.054742925,-5.39039E-06,0.00317495
2312,1.0808306,0.12912086,0.051694997,-1.43001E-06,0.003147059
2313,1.0907393,0.11315159,0.0478857,1.36939E-06,0.003118874
2314,1.100699,0.0970682,0.043312464,2.97988E-06,0.003090497
2315,1.1106821,0.080929,0.037979543,3.51306E-06,0.003062015
2316,1.1206738,0.06475911,0.031888913,3.19413E-06,0.003033475
2317,1.1306674,0.04857268,0.025042597,2.32773E-06,0.003004905
2318,1.1406612,0.032381788,0.017444478,1.26513E-06,0.002976313
2319,0.94555044,0.37767634,0.017388968,-5.58149E-06,0.003526644
2320,0.9554965,0.36153755,0.024959158,-1.11225E-05,0.003498752
2321,0.96543217,0.34542838,0.03177541,-1.72783E-05,0.003470885
2322,0.9753586,0.3293617,0.037836462,-2.32184E-05,0.003443051
2323,0.9852788,0.31336594,0.04313907,-2.82511E-05,0.003415247
2324,0.9951708,0.2974867,0.047680967,-3.18501E-05,0.003387531
2325,1.0049866,0.28177154,0.05146802,-3.36776E-05,0.003360034
2326,1.0146873,0.26626122,0.054515786,-3.3673E-05,0.003332855
2327,1.0242676,0.2509702,0.0568502,-3.19871E-05,0.003305997
2328,1.0337565,0.2358617,0.058503713,-2.89022E-05,0.00327937
2329,1.0432043,0.22085132,0.059504103,-2.47663E-05,0.003252822
2330,1.0526645,0.20583525,0.05986439,-1.99521E-05,0.003226197
2331,1.0621414,0.19080393,0.059583373,-1.48615E-05,0.003199477
2332,1.0716634,0.17569749,0.058653772,-9.86825E-06,0.003172579
2333,1.0812716,0.16041744,0.057052877,-5.29272E-06,0.003145383
2334,1.09099,0.14489467,0.054745503,-1.41163E-06,0.003117824
2335,1.1008162,0.12912084,0.051696807,1.5578E-06,0.003089909
2336,1.1107264,0.11315157,0.047886614,3.49076E-06,0.003061709
2337,1.1206864,0.09706819,0.04331248,4.38515E-06,0.003033325
2338,1.1306696,0.080929,0.03797879,4.36343E-06,0.00300484
2339,1.1406612,0.06475911,0.031887624,3.64744E-06,0.002976303
2340,1.150655,0.04857268,0.025041087,2.52661E-06,0.002947738
2341,1.1606487,0.032381788,0.0174431,1.32687E-06,0.002919155
2342,0.96546173,0.37767625,0.017382842,-4.22486E-06,0.003470383
