,x,y,u (m/s),v (m/s),p (Pa)
1812,0.7009351,0.032380085,0.0292024,0.000134487,0.006987798
1813,0.50745237,0.37771654,0.036237072,-0.000994325,0.008044933
1814,0.5173828,0.36156675,0.050726883,-0.001955473,0.008014834
1815,0.5273188,0.34543377,0.06262381,-0.002982663,0.007982902
1816,0.53725237,0.32934573,0.071907654,-0.003908549,0.007949987
1817,0.5471557,0.31333902,0.07871056,-0.004594093,0.007915962
1818,0.5569897,0.2974575,0.083328776,-0.004942627,0.007880094
1819,0.5667173,0.28174892,0.08619328,-0.004911329,0.007841331
1820,0.5763141,0.26624963,0.08780322,-0.004515415,0.007798709
1821,0.5857761,0.25095814,0.088635586,-0.003820186,0.007751587
1822,0.5951279,0.23582298,0.08906268,-0.002922018,0.007699613
1823,0.6044198,0.2207583,0.08930711,-0.001929553,0.007642678
1824,0.6137125,0.20567472,0.089433245,-0.000950056,0.007581096
1825,0.6230085,0.19057351,0.08935677,-8.24133E-05,0.00751598
1826,0.63234985,0.1753973,0.08887721,0.000603615,0.007448523
1827,0.64179623,0.16007231,0.087714165,0.001068197,0.00737973
1828,0.6513884,0.14455411,0.08555684,0.001303046,0.007310778
1829,0.66113573,0.12883973,0.0821188,0.001331573,0.007242902
1830,0.67101115,0.112959586,0.077189244,0.001202362,0.007177097
1831,0.6809638,0.09695683,0.07065983,0.000977101,0.007114021
1832,0.69094616,0.08087065,0.06251706,0.000715901,0.007053823
1833,0.70093566,0.06473164,0.05281285,0.000466558,0.006996161
1834,0.7109284,0.048563033,0.041630995,0.000260297,0.006940418
1835,0.7209228,0.032380056,0.029058013,0.000112615,0.006885963
1836,0.52737904,0.37769535,0.035173547,-0.000831134,0.007925411
1837,0.5373199,0.36154756,0.049384743,-0.001643457,0.00789192
1838,0.5472628,0.34542257,0.06119546,-0.002520069,0.007856757
1839,0.55720013,0.32934585,0.0705854,-0.003319557,0.007820609
1840,0.56710565,0.31334817,0.07766567,-0.003921642,0.007783484
1841,0.5769427,0.29746968,0.08268752,-0.004240702,0.007744877
1842,0.5866738,0.28175998,0.08601899,-0.004236904,0.007704037
1843,0.5962706,0.26625845,0.08809076,-0.003920929,0.007660254
1844,0.60572773,0.2509647,0.089318424,-0.003346841,0.00761301
