,x,y,u (m/s),v (m/s),p (Pa)
877,0.09466654,0.25974175,0.07038501,0.028097969,0.015826365
878,0.068970084,0.26412863,0.07284488,0.018130569,0.015712073
879,0.081301905,0.26748234,0.07228434,0.022823328,0.015576059
880,0.056261882,0.27318093,0.07264332,0.014459177,0.015474584
881,0.028737256,0.29286307,0.0676503,0.006929249,0.015146375
882,0.042600643,0.28306836,0.07073851,0.010637222,0.015291682
883,0.11627706,0.25968927,0.069069184,0.03912662,0.015454458
884,0.13208075,0.25080207,0.060952447,0.045676455,0.015402989
885,0.14211188,0.25027838,0.05824224,0.047340773,0.014774632
886,0.1515291,0.24619205,0.047569297,0.041540947,0.014153077
887,0.12556396,0.25875133,0.068315916,0.043706313,0.015162804
888,0.1585761,0.24331272,0.03438764,0.030198094,0.013498097
889,0.22131577,0.14607437,0.02278815,0.006694636,0.005682396
890,0.20127402,0.102099866,0.1015675,-0.011826521,0.009096993
891,0.19949163,0.11050869,0.096572794,-0.012244684,0.008687491
892,0.20781457,0.12774403,0.07032531,-0.001404858,0.007164615
893,0.20393412,0.11850303,0.087121524,-0.007214902,0.007968049
894,0.21848686,0.13930836,0.04054061,0.007128794,0.006127832
895,0.2158113,0.1288456,0.06561908,0.004204955,0.006795201
896,0.22605349,0.14031011,0.03865463,0.010092824,0.005952017
897,0.18465686,0.09105782,0.101533115,-0.02037447,0.010660076
898,0.16022298,0.068176985,0.08388525,-0.018485598,0.01245911
899,0.15307125,0.05497888,0.07232524,-0.013535922,0.012852206
900,0.17850408,0.079460785,0.09666435,-0.019239666,0.011373297
901,0.17179683,0.07110733,0.09019144,-0.017878633,0.011881395
902,0.20090945,0.09450797,0.10362578,-0.012050137,0.009553965
903,0.19559985,0.087919876,0.10320701,-0.014361654,0.010170899
904,0.20851162,0.097484455,0.1029266,-0.007441154,0.00900172
905,0.16120492,0.041589763,0.06356443,-0.00816277,0.012671544
906,0.16923715,0.027583754,0.049256913,-0.00368284,0.012499347
907,0.101961195,0.26721108,0.071961455,0.0318328,0.015415198
908,0.110709645,0.2682843,0.07267718,0.036047257,0.015153102
909,0.09389844,0.27194405,0.07269009,0.028059626,0.01535634
910,0.029601997,0.31112304,0.061149046,0.006324195,0.014858169
911,0.08599215,0.27841675,0.07263433,0.024434092,0.015205583
912,0.07196494,0.2800947,0.07194326,0.019415565,0.015259896
913,0.057156637,0.2906691,0.06944886,0.014332791,0.015085679
914,0.043241717,0.3018861,0.06542309,0.009994726,0.014943006
915,0.120119,0.26828432,0.07363237,0.040609907,0.014865855
916,0.14905562,0.25488177,0.062842585,0.046735775,0.013687155
917,0.15662794,0.25041655,0.05201743,0.04006322,0.013234298
918,0.1350554,0.25842354,0.06813554,0.047274686,0.014661405
919,0.14243323,0.25906217,0.068706274,0.048223693,0.014038124
920,0.12930334,0.26771256,0.07461876,0.04452397,0.014478583
921,0.2322086,0.14326155,0.03322045,0.011756972,0.005804339
922,0.23211397,0.15030247,0.018612998,0.008719374,0.005594817
923,0.20992175,0.10864583,0.09656132,-0.005131417,0.008296723
924,0.21299437,0.119992,0.082446285,-0.000213887,0.007490793
925,0.21988444,0.12275096,0.07593467,0.00507608,0.007124995
926,0.2246589,0.13008152,0.06135952,0.009276709,0.006533539
927,0.23263152,0.134276,0.052109946,0.012921869,0.006338205
928,0.18926333,0.07835891,0.09950352,-0.015202471,0.010856259
929,0.17094141,0.05703656,0.08088232,-0.012739458,0.012159394
930,0.18223834,0.06658719,0.09137476,-0.013880705,0.011505587
931,0.20549324,0.08810544,0.10421064,-0.009221812,0.00963361
932,0.19921197,0.07847993,0.10164099,-0.011224848,0.010354647
933,0.21722026,0.10264658,0.09956818,-0.001578927,0.008428046
934,0.21592113,0.090031266,0.104200944,-0.003794197,0.009166672
935,0.17849974,0.041393064,0.068800636,-0.006705735,0.012051906
936,0.18668811,0.02760693,0.05306424,-0.002781916,0.011862665
937,0.030421242,0.32883558,0.05352837,0.005206391,0.014649175
938,0.103853464,0.27648458,0.07408217,0.03207208,0.015013955
939,0.11462044,0.27808708,0.07607722,0.036540024,0.014648759
940,0.09490631,0.28400975,0.07353677,0.027416162,0.014903941
941,0.045520324,0.3204175,0.05866711,0.008872094,0.014673145
942,0.042482976,0.3346785,0.051823772,0.006758249,0.0145438
943,0.05279073,0.33255503,0.054155204,0.008698578,0.014501925
944,0.083543785,0.29073036,0.07170437,0.02244493,0.014895964
945,0.070594296,0.29770234,0.069038786,0.017604003,0.014856264
946,0.058276333,0.30808216,0.064728715,0.013115513,0.014755406
947,0.12480793,0.27621207,0.077762045,0.041091625,0.01433547
948,0.14706884,0.26359648,0.07371004,0.047941543,0.01326646
949,0.16775754,0.25023034,0.040238757,0.025352614,0.011274652
950,0.16160962,0.25404808,0.05606256,0.03725427,0.011956167
951,0.15451247,0.25860077,0.06706284,0.04515584,0.012693159
952,0.13886702,0.26752472,0.07617462,0.047203608,0.013858149
953,0.13262749,0.2747195,0.07912976,0.044063214,0.013968646
954,0.14573827,0.27071995,0.07990103,0.04693001,0.013115108
955,0.23761216,0.14654757,0.028353252,0.01241367,0.005837413
956,0.23875162,0.13819458,0.04467792,0.014657289,0.006206663
957,0.22060065,0.11347463,0.08905089,0.003054253,0.007623809
958,0.22628613,0.12084089,0.077396765,0.008067292,0.007051549
959,0.2334586,0.12423867,0.070483714,0.012046441,0.006838776
960,0.22577505,0.105737865,0.09528963,0.004030137,0.00796475
961,0.23958243,0.12910709,0.061354227,0.014957372,0.006627644
962,0.24524726,0.133349,0.053859644,0.016632926,0.0065098
963,0.19466555,0.06772152,0.09553636,-0.010707972,0.010916215
964,0.18752852,0.054018773,0.083620094,-0.009006554,0.011508634
965,0.21020095,0.0791705,0.10302589,-0.006500158,0.009843376
966,0.20486349,0.071739644,0.09957915,-0.007959616,0.010353158
967,0.22520664,0.09648254,0.1011568,0.001851356,0.008479781
968,0.22497453,0.08730829,0.103425674,0.000515908,0.008967659
969,0.21984072,0.079021044,0.10312953,-0.002324041,0.009480173
970,0.1958269,0.041597348,0.07323098,-0.004634115,0.011368416
971,0.20402984,0.027667899,0.05575737,-0.001572826,0.011201664
972,0.033722743,0.347175,0.044330724,0.004160737,0.014505938
973,0.031608634,0.36441803,0.033840753,0.002331049,0.014450677
974,0.049423113,0.34394342,0.048020538,0.00650992,0.014456577
975,0.10702477,0.28937122,0.075839825,0.031103663,0.014522104
976,0.12016481,0.28747562,0.079221435,0.036308546,0.01416689
977,0.09545991,0.29650384,0.07308065,0.025438778,0.014580469
978,0.061203167,0.32404128,0.059208367,0.011570169,0.01453299
979,0.06189518,0.3380221,0.053040795,0.00922683,0.014387246
980,0.08463341,0.30588248,0.069386974,0.020327788,0.014565837
981,0.073145546,0.31487668,0.06473301,0.015671948,0.014541619
982,0.13055854,0.2838841,0.08184117,0.040661126,0.013789093
983,0.15246592,0.26773226,0.07846368,0.0463625,0.012514186
984,0.1667629,0.25820634,0.061155166,0.03449759,0.011123722
985,0.15970516,0.26312438,0.072592564,0.04273412,0.011757629
986,0.17850529,0.25560153,0.04332114,0.01780917,0.009148251
987,0.17312698,0.26130542,0.0638704,0.029273093,0.009975018
988,0.13984258,0.2784389,0.08314841,0.044536598,0.013326996
989,0.14986318,0.2764823,0.085089765,0.045193028,0.012569234
990,0.24120447,0.15704073,0.012588025,0.008455518,0.005662904
991,0.24268575,0.15021086,0.023765638,0.012495515,0.005806337
992,0.2442129,0.1417124,0.039051548,0.015487644,0.006181412
993,0.23204966,0.113711186,0.085926086,0.00917229,0.007424551
994,0.23969369,0.11946078,0.07662331,0.013660197,0.007118375
995,0.23386805,0.10241759,0.09615918,0.007343686,0.007970884
996,0.24613695,0.12487304,0.067554966,0.016463675,0.006867852
997,0.25159118,0.12918834,0.06060131,0.018035322,0.006763998
998,0.2509098,0.1367083,0.04856867,0.017640045,0.006489531
