,x,y,u (m/s),v (m/s),p (Pa)
0,0.0,0.0,0.0,0.0,0.0
1,0.0033333333333332,0.0,0.0,0.0,6.245713571998422e-07
2,0.0,0.0033333333333333,0.0,0.0,-6.245414853391278e-07
3,0.0033333333333332,0.0033333333333333,-1.101868147408564e-06,1.1018077894818986e-06,-1.2563050910096015e-10
4,0.0,0.006938775510204,0.0,0.0,-4.545112980862072e-06
5,0.0033333333333332,0.006938775510204,1.5023613304948234e-06,3.298478453329897e-09,-3.376055798197737e-06
6,0.0069387755102041,0.0,0.0,0.0,4.544857832211498e-06
7,0.0069387755102041,0.0033333333333333,-1.650301152031761e-09,-1.504554950960132e-06,3.3751489053893615e-06
8,0.0,0.0108163265306122,0.0,0.0,-1.1929993367821298e-05
9,0.0033333333333332,0.0108163265306122,5.703291659779204e-06,-7.913926030712026e-06,-9.577582638548515e-06
10,0.0108163265306122,0.0,0.0,0.0,1.1925903778296996e-05
11,0.0108163265306122,0.0033333333333333,7.922361966585462e-06,-5.708899984016876e-06,9.573199613779597e-06
12,0.0,0.0149659863945578,0.0,0.0,-2.096894034784002e-05
13,0.0033333333333332,0.0149659863945578,1.0273611672838134e-05,-2.5589598944041267e-05,-1.7281920039513087e-05
14,0.0149659863945578,0.0,0.0,0.0,2.094840803268185e-05
15,0.0149659863945578,0.0033333333333333,2.560639831327083e-05,-1.027787385260317e-05,1.7263870426200986e-05
16,0.0,0.0193877551020408,0.0,0.0,-2.995436513119087e-05
17,0.0033333333333333,0.0193877551020408,1.4627854379121832e-05,-5.430603654716936e-05,-2.5015392596648327e-05
18,0.0193877551020407,0.0,0.0,0.0,2.9890093002687352e-05
19,0.0193877551020407,0.0033333333333333,5.4310330175622825e-05,-1.4615649646829351e-05,2.496145626711525e-05
20,0.0,0.0240816326530612,0.0,0.0,-3.7294070470801706e-05
21,0.0033333333333332,0.0240816326530612,1.845674790635295e-05,-9.432646201283872e-05,-3.127238842754339e-05
22,0.0240816326530612,0.0,0.0,0.0,3.714287706643668e-05
23,0.0240816326530612,0.0033333333333333,9.42441431472502e-05,-1.8400195239488727e-05,3.1147471966240624e-05
24,0.0,0.029047619047619,0.0,0.0,-4.149948735294006e-05
25,0.0033333333333333,0.029047619047619,2.160212911826332e-05,-0.0001451958480300007,-3.460644010810824e-05
26,0.0290476190476191,0.0,0.0,0.0,4.121019483586371e-05
27,0.029047619047619,0.0033333333333333,0.00014486043009990474,-2.1460948897769636e-05,3.4370096309602333e-05
28,0.0,0.0342857142857142,0.0,0.0,-4.118202802573024e-05
29,0.0033333333333333,0.0342857142857142,2.3988950053101695e-05,-0.00020592615680128237,-3.3646443865519436e-05
30,0.0342857142857142,0.0,0.0,0.0,4.071734882918765e-05
31,0.0342857142857142,0.0033333333333333,0.00020503869265637323,-2.371434235855724e-05,3.327348009712849e-05
32,0.0,0.0397959183673469,0.0,0.0,-3.5045176505157706e-05
33,0.0033333333333333,0.0397959183673469,2.5588685346595586e-05,-0.0002751091730434282,-2.710209619366445e-05
34,0.0397959183673469,0.0,0.0,0.0,3.442197276314204e-05
35,0.0397959183673469,0.0033333333333333,0.0002732089181579307,-2.513127721897715e-05,2.662048609680394e-05
36,0.0,0.045578231292517,0.0,0.0,-2.1875208442782735e-05
37,0.0033333333333333,0.045578231292517,2.639727837623097e-05,-0.0003509874967137979,-1.3760386529693185e-05
38,0.045578231292517,0.0,0.0,0.0,2.1225955408322746e-05
39,0.045578231292517,0.0033333333333333,0.0003474492013013253,-2.5719380336399902e-05,1.3309227457776392e-05
40,0.0,0.0516326530612245,0.0,0.0,-5.312692396777019e-07
41,0.0033333333333333,0.0516326530612245,2.64209097287224e-05,-0.00043149450968046264,7.520772800893599e-06
42,0.0516326530612245,0.0,0.0,0.0,1.8695286378531852e-07
43,0.0516326530612245,0.0033333333333333,0.0004255717727626888,-2.551293043379657e-05,-7.6130073801361e-06
44,0.0,0.0579591836734694,0.0,0.0,3.0063696336575488e-05
45,0.0033333333333333,0.0579591836734694,2.5666312368228788e-05,-0.0005142690525255739,3.7819340939105925e-05
46,0.0579591836734693,0.0,0.0,0.0,-2.9472635833921347e-05
47,0.0579591836734693,0.0033333333333333,0.0005052054768939618,-2.45667412184004e-05,-3.693949646941065e-05
48,0.0,0.0645578231292517,0.0,0.0,7.092879152814446e-05
49,0.0033333333333333,0.0645578231292517,2.4134040518930753e-05,-0.0005966475160800388,7.815339492908562e-05
50,0.0645578231292516,0.0,0.0,0.0,-6.836134259843678e-05
51,0.0645578231292516,0.0033333333333333,0.0005838779131223107,-2.295195854096008e-05,-7.529887027357049e-05
52,0.0,0.0714285714285714,0.0,0.0,0.00012302481352805192
53,0.0033333333333333,0.0714285714285714,2.181390306372477e-05,-0.000675635405226994,0.0001294796675794264
54,0.0714285714285712,0.0,0.0,0.0,-0.00011692108112425132
55,0.0714285714285712,0.0033333333333333,0.0006590975455284719,-2.075255852759824e-05,-0.00012315675851207796
56,0.0,0.0785714285714286,0.0,0.0,0.00018724416862410208
57,0.0033333333333333,0.0785714285714286,1.868219392316743e-05,-0.0007478606907103001,0.00019268278318906385
58,0.0785714285714285,0.0,0.0,0.0,-0.00017543822786577967
59,0.0785714285714285,0.0033333333333333,0.0007284337689481538,-1.8061819775623925e-05,-0.0001808259723555101
60,0.0,0.0859863945578231,0.0,0.0,0.0002643871018108983
61,0.0033333333333333,0.0859863945578231,1.4700581379809949e-05,-0.0008095122290226036,0.000268551228697939
62,0.085986394557823,0.0,0.0,0.0,-0.00024406467380890396
63,0.085986394557823,0.0033333333333333,0.0007895911339563169,-1.4978361866789844e-05,-0.0002484864745677553
64,0.0,0.0936734693877551,0.0,0.0,0.00035512011429274476
65,0.0033333333333333,0.0936734693877551,9.816618806047092e-06,-0.0008562677938299376,0.00035773596373442096
66,0.0936734693877552,0.0,0.0,0.0,-0.0003228493996954189
67,0.0936734693877552,0.0033333333333333,0.0008404726087848703,-1.1601580722277338e-05,-0.0003262156604723979
68,0.0,0.1016326530612245,0.0,0.0,0.0004599122608947948
69,0.0033333333333333,0.1016326530612245,3.965921654895252e-06,-0.0008832179945100039,0.0004606873570861472
70,0.1016326530612244,0.0,0.0,0.0,-0.00041178010763382166
71,0.1016326530612245,0.0033333333333333,0.0008792259831018446,-8.026506382707107e-06,-0.00041402850246874656
72,0.0,0.1098639455782313,0.0,0.0,0.0005789457237240523
73,0.0033333333333333,0.1098639455782313,-2.9240272263136895e-06,-0.0008847936216736139,0.0005775669259733592
74,0.1098639455782313,0.0,0.0,0.0,-0.0005108332514701529
75,0.1098639455782313,0.0033333333333333,0.0009042674113558208,-4.338277729203651e-06,-0.0005119259643022539
76,0.0,0.1183673469387755,0.0,0.0,0.0007119966967349478
77,0.0033333333333333,0.1183673469387755,-1.092829561929095e-05,-0.0008547065441197432,0.0007081297648231424
78,0.1183673469387754,0.0,0.0,0.0,-0.0006200295534371217
79,0.1183673469387754,0.0033333333333333,0.0009142767670439084,-6.065754499963996e-07,-0.0006199488775579138
80,0.0,0.1271428571428571,0.0,0.0,0.0008582861252323983
81,0.0033333333333333,0.1271428571428571,-2.0117579354927687e-05,-0.0007859135790414767,0.0008515775356088159
82,0.1271428571428572,0.0,0.0,0.0,-0.0007394908822476035
83,0.1271428571428572,0.0033333333333333,0.0009081610462867932,3.119520410170953e-06,-0.0007382332948178375
84,0.0,0.1361904761904762,0.0,0.0,0.0010162963547991
85,0.0033333333333333,0.1361904761904762,-3.054912151980404e-05,-0.000670618594186797,0.0010063772334246
86,0.136190476190476,0.0,0.0,0.0,-0.0008694933883377599
87,0.136190476190476,0.0033333333333333,0.0008849845257913324,6.815693732221124e-06,-0.0008670623823758285
88,0.0,0.1455102040816326,0.0,0.0,0.0011835631343823
