x,y,u (m/s),v (m/s),p (Pa)
0.0,0.0186424665015704,0.0049171695314424,-1.2013326333995149e-06,1.0023502841518357
0.0011574966739649,0.0189588550198657,0.0037887076264154,-1.6650496700102687e-05,1.0024159882579304
0.0,0.0193881709176724,0.0023053081049997,-1.251809396957952e-07,1.002540997369095
0.0,0.0012884946064969,0.0046764494330459,1.3473605372813586e-06,1.0027449136111508
0.0,0.0005853729955654221,0.0022045875004145,-2.63154511779373e-07,1.0029859103118717
0.0008906259344792028,0.0011046368599126,0.0040118391276265,1.0185289334725244e-05,1.002828617545314
0.0,0.0174183681454143,0.0087325008980487,-4.421922096790191e-06,1.0019034067621675
0.001499254805258,0.0181027418557734,0.0066335924402902,-4.939029201885225e-05,1.002319783322802
0.0,0.0026857088305221,0.0090165036527262,2.5573001532267504e-06,1.002187837219128
0.0013790228219994,0.0020320053148798,0.0070185014305936,4.439090132280746e-05,1.002613255600324
0.0,0.0158035544825516,0.0128663385081447,-1.0462629153284608e-05,1.0009968172309829
0.0015328959313527,0.0165115683896092,0.0112210569911485,-4.429162042248892e-05,1.0022143949289355
0.0,0.0040829230545474,0.0125945242393744,1.9011816003010115e-05,1.001451082715972
0.0015812546563499,0.0035653736846678,0.0114026981256966,7.367767467255499e-05,1.002492397066675
0.0016991092181778,0.0141401566911901,0.0160026014070387,5.023330064797773e-05,1.0017906919982018
0.0,0.0130179733387211,0.0175714841934797,8.171024867142734e-07,1.00116795151967
0.0017830984460376,0.0057550219843707,0.0158384388913386,-3.713256537417207e-05,1.0017984801640696
0.0,0.0069796105719398,0.0175329746646617,-1.1092499352301037e-05,1.001164992790884
0.0018878836801486,0.0084245510040066,0.018486483442599,-9.493837268085494e-05,1.00430612045413
0.0,0.010000443799495,0.0192265245070894,5.305739842751896e-06,1.0014522948382605
0.001884874434053,0.0115418005514575,0.0185975141258211,8.328179638931392e-05,1.0041380141044798
0.0496305172395715,0.0199999999999999,0.0,0.0,0.9863920825293764
0.0496305172395715,0.0199059317331594,0.0004909260909163598,7.91814538731411e-06,0.9863370011917364
0.05,0.02,0.0,0.0,0.9826372146341962
0.0499999999999999,0.0196362483414671,0.0018885236615457,0.0001846558748477528,0.984618832889577
0.0497576522485751,0.0197053574701655,0.0015081251265071,6.234084043850564e-05,0.9855824824184722
0.0499999999999999,0.0192724966750075,0.0034144044659424,0.00021129171622103615,0.9850608675689668
0.049681524961149,0.0194516342012626,0.0026265999580247,9.512690036881288e-05,0.9852357112527864
0.0496191425141965,0.0191055539969897,0.0040518312022578,0.0001350636165825907,0.9854781979820606
0.0499999999999999,0.0188442075295192,0.0050916309674174,0.00022326529821404092,0.9854982121202626
0.0495431442406441,0.0186396583784464,0.0058277665875416,0.00016864905934524006,0.9858063437333076
0.0499999999999999,0.0183212096278057,0.0069889318752748,0.00023557111876229209,0.985926705790349
0.0494727426226713,0.0180576474737464,0.0078663767603793,0.00019834457303156687,0.9861822611213436
0.0499999999999999,0.0176588285574244,0.00916009780152,0.000245503473030104,0.9863486803883966
0.0494418575005356,0.0173348303338316,0.0101218468562769,0.00021900496299340569,0.9865809182957356
0.0499999999999999,0.0169477348816074,0.0111902474730428,0.0002485636368145077,0.9867314001545046
0.0499999999999999,0.0161767657978635,0.013071368688033,0.00025488084491312327,0.9871600262921634
0.0493330793794377,0.0165557521863749,0.0121798789624494,0.000221437481066137,0.9869863242464604
0.0499999999999999,0.0153022287640079,0.0147453622183022,0.00024787379071082447,0.9875198712479838
0.0492369025241726,0.0157343025456682,0.0139891868241056,0.000230973739949617,0.9874303958566886
0.0499999999999999,0.0012237065480669,0.0042942235183779,-7.082325112145623e-06,0.990491455933856
0.0489645625567756,0.000995581536009571,0.0034794326978909,-1.013500274051045e-05,0.990501388702656
0.0499999999999999,0.0005883592870534893,0.002062470924868,-3.2978848562413374e-06,0.9904758193078104
0.05,0.0143102222161766,0.016017244166391,0.000225178696171377,0.9879368089511068
0.0491314577106731,0.0147943197272893,0.015494974085072,0.00021209817904174717,0.9878964227134224
0.0499999999999999,0.013185037575715,0.0168754711863728,0.00021580023203856316,0.9883605569315376
0.0490072399794395,0.0137317766067355,0.0165192907617568,0.0001982006593957492,0.9882549259540362
0.0499999999999999,0.0023498338052234,0.008266160571681,-2.9427752935535237e-05,0.9906115404446372
0.0486958238299105,0.0016237011413714,0.0056698111189782,-1.4472536580047696e-05,0.990537353231253
0.0499999999999999,0.0034759610623798,0.0115460588574301,1.3084819464886766e-05,0.9903637596804276
0.0482682491614673,0.0026243565196642,0.0092517688864552,-2.109779460968588e-05,0.9908069228916816
0.0499999999999999,0.0054306362087036,0.0153675974706513,8.075815537189791e-05,0.9900591833142236
0.0483853096021921,0.0046293194642192,0.014212593808497,2.8240018808928604e-05,0.990266428506753
0.0484967336032429,0.0068035845961136,0.0166204061440302,0.00010616167939564655,0.9900309257254511
0.0499999999999999,0.0079858420126248,0.0171877555924152,0.0001559356550224362,0.9899306074817106
0.0499999999999999,0.0119088753356283,0.0174570565355869,0.0002213167930529341,0.98875489404295
0.0488805038690364,0.0125041033815815,0.0172211394433612,0.0001962503108595268,0.9886605071972212
0.0487585284671562,0.0111165636502099,0.0176064947919442,0.0001998667659096571,0.9891806086439238
0.0499999999999999,0.0102215446914357,0.0176462893975639,0.00020913097325963052,0.989448594397444
0.0486701829335154,0.0092729077508113,0.0175689934527076,0.00017164042361091832,0.9898990207458578
0.0499999999999999,0.020377893721614,0.0,0.0,0.982808675830093
0.0501039301624762,0.020377893721614,8.40423259714641e-06,-0.00012548261981517618,0.9829002387505542
0.0503254890767534,0.0197971264192465,0.0012386758095375,0.00024168061065196075,0.983658907484092
0.0503732762287231,0.0194277925103684,0.0027844529694311,0.00030522175883407045,0.9849379303035024
0.0504186653277567,0.0190233730408154,0.0043986171294968,0.0002985586624531926,0.9854652208283282
0.0504693690208625,0.0185381780187558,0.0062219959697939,0.00028605149391605194,0.9858985083705936
0.0505155960741535,0.0179208470668133,0.0083317163672799,0.00027887512181682875,0.9862778876748064
0.0506010486895213,0.0172766086562625,0.0102864983397201,0.00027704864878400504,0.9866329762893642
0.0506662786798263,0.0165427504158138,0.0122250703209467,0.0002778965134766101,0.9870077615048468
0.050764585252016,0.0157219498038695,0.013999679228408,0.0002755995169456925,0.9873578924864708
