,x,y,u (m/s),v (m/s),p (Pa),mask
0,0.0,0.0,0.0,0.0,0.0,True
1,0.015873015873015872,0.0,-5.887043946337919e-07,5.7517572782137705e-08,2.2417368052105363e-05,True
2,0.031746031746031744,0.0,-4.351868116036473e-06,5.6017761393861095e-08,4.9523412349852404e-05,True
3,0.047619047619047616,0.0,-3.2442696628378373e-07,-1.8192366189661496e-08,3.766537767663991e-05,True
4,0.06349206349206349,0.0,9.77666840644806e-07,-4.366922337447832e-09,-2.1928300407553533e-05,True
5,0.07936507936507936,0.0,2.2001636889238793e-06,6.513018982131177e-08,-0.00012452644482800998,True
6,0.09523809523809523,0.0,-9.527325648752952e-07,2.676398104343735e-10,-0.0002608578769405742,True
7,0.1111111111111111,0.0,7.303375325125013e-07,5.862939756982338e-08,-0.0004213805361083244,True
8,0.12698412698412698,0.0,6.687024671360199e-08,-2.44634659061149e-09,-0.000599889507866515,True
9,0.14285714285714285,0.0,-3.158912227278288e-07,2.1317595732535993e-08,-0.0007942235840682166,True
10,0.15873015873015872,0.0,-2.223750618982426e-06,5.242292082416253e-08,-0.0010064071539552016,True
11,0.1746031746031746,0.0,1.111352371103028e-06,-2.5921173773659932e-08,-0.0012416279737359234,True
12,0.19047619047619047,0.0,5.611773125191018e-06,-1.233578416972148e-07,-0.001506297271334923,True
13,0.20634920634920634,0.0,1.1034277827651093e-06,-5.337173272670473e-08,-0.00180665870673117,True
14,0.2222222222222222,0.0,-7.589206696623604e-06,2.5731261188702515e-07,-0.002148732546186036,True
15,0.23809523809523808,0.0,8.261011096666532e-06,-3.025797834269554e-07,-0.0025358962295050683,True
16,0.25396825396825395,0.0,-2.023753884940109e-06,-3.3041464744120373e-09,-0.002969908280657094,True
17,0.2698412698412698,0.0,1.2754160818058413e-05,-1.4126674059918597e-07,-0.0034518976102753084,True
18,0.2857142857142857,0.0,-4.892554419552963e-06,6.539408589562902e-07,-0.003978303777757589,True
19,0.30158730158730157,0.0,2.7764136723794986e-05,-8.776361888374486e-07,-0.00454420561386556,True
20,0.31746031746031744,0.0,3.845817009139767e-06,1.5808891697834534e-08,-0.005139616366500559,True
21,0.3333333333333333,0.0,9.789532436989245e-06,-4.7697803944202874e-08,-0.0057506309760376705,True
22,0.3492063492063492,0.0,-2.1511281727979854e-05,5.053403012387775e-07,-0.006358224413407033,True
23,0.36507936507936506,0.0,1.106184679731065e-05,-1.0438380101033623e-06,-0.006939510421835513,True
24,0.38095238095238093,0.0,-9.739456185697368e-06,2.511148317561634e-07,-0.007465599866000579,True
25,0.3968253968253968,0.0,-6.921714005667143e-05,-6.778482498349398e-08,-0.00790357551597975,True
26,0.4126984126984127,0.0,0.00010371191115054969,2.1478206599589618e-07,-0.008226751822235142,True
27,0.42857142857142855,0.0,-9.489193361477927e-05,-2.2788000133864608e-07,-0.008398955775421567,True
28,0.4444444444444444,0.0,9.222591641519489e-05,2.8772885481523016e-07,-0.008393925026598246,True
29,0.4603174603174603,0.0,-7.31865754059794e-05,-2.625309371726819e-07,-0.00819028629841381,True
30,0.47619047619047616,0.0,5.729315593473451e-05,2.928230485890368e-07,-0.007776257953976619,True
31,0.49206349206349204,0.0,-2.5475367744670252e-05,2.4589997222254155e-07,-0.007153777971790931,True
32,0.5079365079365079,0.0,-3.636965142175135e-06,-8.575645073146938e-07,-0.006327581535869409,True
33,0.5238095238095237,0.0,-2.077537776175862e-05,1.6621006202352982e-06,-0.0053451471660887605,True
34,0.5396825396825397,0.0,3.732540545411448e-05,-2.059058074793234e-06,-0.004242498887804865,True
35,0.5555555555555556,0.0,-6.387134281139623e-05,1.749649151108557e-06,-0.0030811293490701163,True
36,0.5714285714285714,0.0,7.992290259919708e-05,-1.753154896250749e-06,-0.0019346681338129276,True
37,0.5873015873015872,0.0,-5.744011508555801e-05,6.433701003281804e-07,-0.0008814256378228455,True
38,0.6031746031746031,0.0,-2.551418609336309e-05,3.9553738846859097e-07,1.0160902609791597e-05,True
39,0.6190476190476191,0.0,3.098727772852201e-06,-5.571122553684549e-07,0.0006612036868572547,True
40,0.6349206349206349,0.0,7.682280660132927e-05,1.719413798388646e-08,0.001016113395385128,True
41,0.6507936507936507,0.0,-0.00012167489474112372,-2.3422240947282964e-07,0.0010584651856509805,True
42,0.6666666666666666,0.0,4.3010352028884514e-05,1.4987432783681315e-07,0.0007722532792270754,True
43,0.6825396825396826,0.0,2.258612465667845e-05,1.3526065239996426e-07,0.00018413785536190312,True
44,0.6984126984126984,0.0,-5.5265850974555755e-05,-5.014297499052884e-07,-0.0006579865225754175,True
45,0.7142857142857142,0.0,7.845181065271185e-05,8.644018422473403e-07,-0.001687558841840017,True
46,0.7301587301587301,0.0,-3.063803229138733e-05,-3.428759534452414e-07,-0.002829616952611633,True
47,0.746031746031746,0.0,-3.5049111067627476e-06,-1.6097001302695427e-07,-0.004005697253541755,True
48,0.7619047619047619,0.0,-7.023050645554148e-06,-4.27193481427299e-07,-0.0051477703124205906,True
49,0.7777777777777777,0.0,-1.2997023002477013e-06,2.3153801925968872e-07,-0.0062005774319819264,True
50,0.7936507936507936,0.0,-4.929928558172338e-06,5.8157902099911664e-08,-0.007127744078435971,True
51,0.8095238095238095,0.0,1.3688275825796563e-05,-8.160478420602502e-08,-0.007908969252051553,True
52,0.8253968253968254,0.0,-1.6099202619138094e-06,-5.965447893529472e-08,-0.008542884961815,True
53,0.8412698412698412,0.0,1.7300702892995377e-07,3.034139456829419e-07,-0.009035667292437594,True
54,0.8571428571428571,0.0,1.4811652974782718e-05,5.947901832225021e-08,-0.009403535104506153,True
55,0.873015873015873,0.0,1.0626252769471378e-06,-5.1050502156361e-09,-0.009667024222328556,True
56,0.8888888888888888,0.0,1.3393938880402888e-06,-2.1179332206835524e-07,-0.009846625263573857,True
57,0.9047619047619047,0.0,-3.87894464414218e-06,-2.2900664355118447e-08,-0.009960225669759562,True
58,0.9206349206349206,0.0,5.286663451454479e-06,2.2565613426193274e-07,-0.010023175992105202,True
59,0.9365079365079365,0.0,-7.161518876246604e-06,-6.909053990092248e-08,-0.010045581495988304,True
60,0.9523809523809523,0.0,-1.3744184643227579e-06,1.3653648285071712e-07,-0.010033342959102316,True
61,0.9682539682539681,0.0,-4.193416278909179e-06,-1.2400467385912835e-07,-0.009991669011498408,True
62,0.9841269841269841,0.0,3.1649157462464925e-07,-1.7917976985579447e-08,-0.009935146412315141,True
63,1.0,0.0,0.0,0.0,-0.0099105573428045,True
64,0.0,0.015873015873015872,7.829789870115915e-08,-7.440792505136809e-07,-2.2394741455986485e-05,True
65,0.015873015873015872,0.015873015873015872,0.00030982182503038,-0.0003111107856075331,1.969001763010461e-09,True
66,0.031746031746031744,0.015873015873015872,0.0011898775800414977,-0.0006081317672379219,1.1338675571385377e-05,True
67,0.047619047619047616,0.015873015873015872,0.002408201571784309,-0.0007234882326878463,-8.031204504952013e-06,True
68,0.06349206349206349,0.015873015873015872,0.0036777149316375036,-0.0006856841796955084,-6.56958218819915e-05,True
69,0.07936507936507936,0.015873015873015872,0.004782048555988096,-0.0005475730621221825,-0.0001597850013564407,True
70,0.09523809523809523,0.015873015873015872,0.005582055057939397,-0.00036497796936764854,-0.00028415551776557045,True
71,0.1111111111111111,0.015873015873015872,0.006037349410042957,-0.0001792962966697245,-0.00043186145094314406,True
72,0.12698412698412698,0.015873015873015872,0.006150729336460949,-1.1364879571992279e-05,-0.0005980462476689736,True
73,0.14285714285714285,0.015873015873015872,0.005956940679474894,0.00012924966820030784,-0.0007813722457352375,True
74,0.15873015873015872,0.015873015873015872,0.005498023620055965,0.00025434897917787057,-0.000983085901029754,True
75,0.1746031746031746,0.015873015873015872,0.004774682972408762,0.0003784705375788305,-0.0012077204832992713,True
76,0.19047619047619047,0.015873015873015872,0.0037810855026777727,0.0005177319609856796,-0.0014604260787610083,True
77,0.20634920634920634,0.015873015873015872,0.0024422779881595603,0.000692288105563258,-0.001747108400684387,True
78,0.2222222222222222,0.015873015873015872,0.0007200557841342307,0.0009034194532377499,-0.002072340246711062,True
79,0.23809523809523808,0.015873015873015872,-0.0014705518254832654,0.0011558843143695263,-0.0024400874881802337,True
80,0.25396825396825395,0.015873015873015872,-0.004209937794326351,0.0014488991066016774,-0.0028527862995247773,True
81,0.2698412698412698,0.015873015873015872,-0.007556821911208057,0.0017765268767879843,-0.0033111074569321486,True
82,0.2857142857142857,0.015873015873015872,-0.011534504909512551,0.0021227278016853796,-0.0038126590148252473,True
83,0.30158730158730157,0.015873015873015872,-0.016197770210797012,0.0024836782616182895,-0.004353355473450964,True
84,0.31746031746031744,0.015873015873015872,-0.02156278047847523,0.0028513094334215155,-0.004925343264114011,True
85,0.3333333333333333,0.015873015873015872,-0.027546724034344317,0.0031938324009972213,-0.005515211708783032,True
86,0.3492063492063492,0.015873015873015872,-0.03411380584021684,0.00350039577911766,-0.006105639052261306,True
87,0.36507936507936506,0.015873015873015872,-0.04108947877800011,0.003727411718323843,-0.0066754243774334665,True
88,0.38095238095238093,0.015873015873015872,-0.04818551446893399,0.0038777963948295325,-0.007196215055314789,True
89,0.3968253968253968,0.015873015873015872,-0.055644493136632195,0.003913080255369337,-0.007642151776482827,True
90,0.4126984126984127,0.015873015873015872,-0.06278202080028851,0.003825554117859322,-0.007978221568725985,True
91,0.42857142857142855,0.015873015873015872,-0.0695086007589864,0.003612851333774715,-0.008171170873461567,True
92,0.4444444444444444,0.015873015873015872,-0.07565520135063838,0.0032314110577396035,-0.008198227169980758,True
93,0.4603174603174603,0.015873015873015872,-0.08080838388378167,0.002717529196596714,-0.008038313729285125,True
94,0.47619047619047616,0.015873015873015872,-0.08479112425894704,0.002081757551589946,-0.007671528997609429,True
95,0.49206349206349204,0.015873015873015872,-0.0874498183627857,0.0012723102636361394,-0.00710516116353045,True
96,0.5079365079365079,0.015873015873015872,-0.08853454685462124,0.0003935681271492914,-0.0063469617106009365,True
97,0.5238095238095237,0.015873015873015872,-0.08799449819511507,-0.0005734117142763218,-0.005429108376606005,True
98,0.5396825396825397,0.015873015873015872,-0.08560310664272679,-0.0015840966092812321,-0.004391381357706862,True
99,0.5555555555555556,0.015873015873015872,-0.08137242460624129,-0.0026069643390987823,-0.003294713995414274,True
100,0.5714285714285714,0.015873015873015872,-0.07552690762938749,-0.003574992888068285,-0.002208568473096388,True
101,0.5873015873015872,0.015873015873015872,-0.0681715787064838,-0.00444196529168318,-0.0012049059398869064,True
102,0.6031746031746031,0.015873015873015872,-0.059292450601705654,-0.005182505606450812,-0.0003578068531816951,True
103,0.6190476190476191,0.015873015873015872,-0.04947439792230302,-0.005715682176023994,0.00026149641285685374,True
104,0.6349206349206349,0.015873015873015872,-0.03896308161065937,-0.006030522670021035,0.0006029508680696232,True
105,0.6507936507936507,0.015873015873015872,-0.02783749877574823,-0.006086001968426566,0.0006429009849973733,True
106,0.6666666666666666,0.015873015873015872,-0.01717748669436102,-0.005887467635185174,0.00036943033272219053,True
107,0.6825396825396826,0.015873015873015872,-0.006854231118090829,-0.005428982266989314,-0.00019105815961540442,True
108,0.6984126984126984,0.015873015873015872,0.002506855562617635,-0.00475229278047342,-0.000992917746948104,True
109,0.7142857142857142,0.015873015873015872,0.01048239538378741,-0.003939684464104208,-0.001973017442383204,True
110,0.7301587301587301,0.015873015873015872,0.017203782523618562,-0.002960880649129619,-0.0030548046780173826,True
111,0.746031746031746,0.015873015873015872,0.02203164288541712,-0.002013211093421017,-0.00417035182898226,True
112,0.7619047619047619,0.015873015873015872,0.025230358669337715,-0.0010871326121083883,-0.00525114859938919,True
113,0.7777777777777777,0.015873015873015872,0.026889151609220126,-0.00023713339127408138,-0.006246886724610206,True
114,0.7936507936507936,0.015873015873015872,0.027082919013008955,0.0004701095613251059,-0.007123437154216446,True
115,0.8095238095238095,0.015873015873015872,0.026080919614666354,0.0010191638619405875,-0.007863734457607506,True
116,0.8253968253968254,0.015873015873015872,0.024206828782631792,0.0013931626785879424,-0.008467226272445252,True
117,0.8412698412698412,0.015873015873015872,0.021661358117428864,0.001619488587780248,-0.00893903800617139,True
118,0.8571428571428571,0.015873015873015872,0.01876514560510208,0.0017132112005001528,-0.009295950467568686,True
119,0.873015873015873,0.015873015873015872,0.015742304055001616,0.0017021293849778967,-0.009556300199738287,True
120,0.8888888888888888,0.015873015873015872,0.01273007647698297,0.0016233290978327525,-0.009737829063647912,True
121,0.9047619047619047,0.015873015873015872,0.009853205607879006,0.0015022520235368922,-0.009857612937582869,True
122,0.9206349206349206,0.015873015873015872,0.007199698800787588,0.0013558597959080715,-0.009929380241198865,True
123,0.9365079365079365,0.015873015873015872,0.00481748646956564,0.001185646087808374,-0.009963193014188774,True
124,0.9523809523809523,0.015873015873015872,0.002784619062154496,0.0009707707523411497,-0.009966088553172669,True
125,0.9682539682539681,0.015873015873015872,0.0012138765229098851,0.000668527907492231,-0.009944772366197722,True
126,0.9841269841269841,0.015873015873015872,0.0002635231956911872,0.000258878392918062,-0.009910792857966906,True
127,1.0,0.015873015873015872,4.031036689371357e-09,1.964883151662511e-07,-0.009885769388583921,True
128,0.0,0.031746031746031744,-2.0342744949755586e-07,4.2200659904101725e-06,-5.093576848910388e-05,True
129,0.015873015873015872,0.031746031746031744,0.0006117437008925233,-0.001196078993428737,-1.1875678926233533e-05,True
130,0.031746031746031744,0.031746031746031744,0.0020632616020306383,-0.0020502299359163355,-2.211170948307935e-07,True
131,0.047619047619047616,0.031746031746031744,0.0039028428931210672,-0.002360321586461009,-2.275992576330931e-05,True
132,0.06349206349206349,0.031746031746031744,0.005735524787931094,-0.002198371437214844,-8.105525099504214e-05,True
133,0.07936507936507936,0.031746031746031744,0.007244350745891474,-0.0017105509748405168,-0.0001720865442441223,True
134,0.09523809523809523,0.031746031746031744,0.008234883331206058,-0.0010658542755184745,-0.00028958502385483074,True
135,0.1111111111111111,0.031746031746031744,0.008609422980385407,-0.00038418001415875086,-0.0004273795414343529,True
136,0.12698412698412698,0.031746031746031744,0.00835682276770457,0.00025637576326662794,-0.0005814168959373425,True
